ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","33445","1460","3","0","0","1","1","0","0","0","127.570284000","0.000148000","0.168081000","0.000148000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","34905","1233","3","0","0","1","1","0","0","0","127.570521000","0.000237000","0.168318000","0.000237000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","36138","1460","3","0","0","1","1","0","0","0","127.570766000","0.000245000","0.168563000","0.000245000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64013","34905","372","0","3","0","0","1","0","0","0","0","127.571098000","0.000332000","0.168895000","0.000332000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","37598","372","0","3","0","0","1","0","0","0","0","127.571468000","0.000370000","0.169265000","0.000370000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","37598","1233","3","0","0","1","1","0","0","0","127.571482000","0.000014000","0.169279000","0.000014000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","38831","1460","3","0","0","1","1","0","0","0","127.588633000","0.017151000","0.186430000","0.017151000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","40291","1460","3","0","0","1","1","0","0","0","127.588902000","0.000269000","0.186699000","0.000269000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","41751","1460","3","0","0","1","1","0","0","0","127.589262000","0.000360000","0.187059000","0.000360000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","43211","1233","3","0","0","1","1","0","0","0","127.589503000","0.000241000","0.187300000","0.000241000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","40291","372","0","3","0","0","1","0","0","0","0","127.589649000","0.000146000","0.187446000","0.000146000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","44444","1460","3","0","0","1","1","0","0","0","127.589741000","0.000092000","0.187538000","0.000092000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64013","43211","372","0","3","0","0","1","0","0","0","0","127.590070000","0.000329000","0.187867000","0.000329000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","45904","1233","3","0","0","1","1","0","0","0","127.590454000","0.000384000","0.188251000","0.000384000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","45904","372","0","3","0","0","1","0","0","0","0","127.590461000","0.000007000","0.188258000","0.000007000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","47137","1460","3","0","0","1","1","0","0","0","127.605614000","0.015153000","0.203411000","0.015153000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","48597","1460","3","0","0","1","1","0","0","0","127.606478000","0.000864000","0.204275000","0.000864000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","48597","372","0","3","0","0","1","0","0","0","0","127.606730000","0.000252000","0.204527000","0.000252000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","50057","1460","3","0","0","1","1","0","0","0","127.606869000","0.000139000","0.204666000","0.000139000"
"192.168.0.5","192.168.0.11","1273","1","0","128","6","65164","372","51517","1233","3","0","0","1","1","0","0","0","127.607106000","0.000237000","0.204903000","0.000237000"
"192.168.0.5","192.168.0.11","1500","1","0","128","6","65164","372","52750","1460","3","0","0","1","1","0","0","0","127.607677000","0.000571000","0.205474000","0.000571000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64013","51517","372","0","3","0","0","1","0","0","0","0","127.607826000","0.000149000","0.205623000","0.000149000"
"192.168.0.11","192.168.0.5","40","1","0","128","6","64240","52750","372","0","3","0","0","1","0","0","0","0","127.608070000","0.000244000","0.205867000","0.000244000"
